"sample_id","human_verdict","notes","timestamp"
"sd15_promptonly_v1_000084_seed0002","UNDECIDABLE","on bicycle / overlap","2026-01-16T08:54:44.369Z"
"sd15_promptonly_v1_000008_seed0001","UNDECIDABLE","Overlap/centered","2026-01-16T08:54:56.378Z"
"sd15_promptonly_v1_000048_seed0000","PASS","","2026-01-16T08:55:06.579Z"
"sd15_promptonly_v1_000076_seed0001","UNDECIDABLE","Overlap/centered","2026-01-16T08:55:16.548Z"
"sd15_promptonly_v1_000029_seed0001","UNDECIDABLE","Bus above the laptop","2026-01-16T08:55:43.879Z"
"sd15_promptonly_v1_000165_seed0003","UNDECIDABLE","missing vase","2026-01-16T08:55:54.928Z"
"sd15_promptonly_v1_000065_seed0003","UNDECIDABLE","2 bears, one on the couch, the other appears above as a painting","2026-01-16T08:56:35.649Z"
"sd15_promptonly_v1_000125_seed0001","UNDECIDABLE","Overlap/centered","2026-01-16T08:57:05.909Z"
"sd15_promptonly_v1_000013_seed0000","FAIL","","2026-01-16T08:57:31.938Z"
"sd15_promptonly_v1_000174_seed0000","UNDECIDABLE","they are at the same height","2026-01-16T08:57:50.249Z"
"sd15_promptonly_v1_000066_seed0001","PASS","Bear is on the couch","2026-01-16T08:58:59.726Z"
"sd15_promptonly_v1_000062_seed0001","FAIL","","2026-01-16T09:00:27.899Z"
"sd15_promptonly_v1_000046_seed0003","FAIL","","2026-01-16T09:01:11.955Z"
"sd15_promptonly_v1_000078_seed0003","FAIL","","2026-01-16T09:01:19.666Z"
"sd15_promptonly_v1_000182_seed0000","UNDECIDABLE","Overlap/centered","2026-01-16T09:01:55.246Z"
"sd15_promptonly_v1_000099_seed0000","UNDECIDABLE","Same height","2026-01-16T09:02:07.085Z"
"sd15_promptonly_v1_000047_seed0001","UNDECIDABLE","Both nearly same size and at the same level","2026-01-16T09:02:46.925Z"
"sd15_promptonly_v1_000031_seed0001","FAIL","","2026-01-16T09:03:08.635Z"
"sd15_promptonly_v1_000011_seed0000","UNDECIDABLE","Overlap/centered","2026-01-16T09:03:22.424Z"
"sd15_promptonly_v1_000047_seed0003","FAIL","","2026-01-16T09:03:44.985Z"
"sd15_promptonly_v1_000089_seed0000","UNDECIDABLE","dog appears on the boat","2026-01-16T09:03:56.156Z"
"sd15_promptonly_v1_000117_seed0000","UNDECIDABLE","Overlap/centered","2026-01-16T09:04:36.224Z"
"sd15_promptonly_v1_000169_seed0003","PASS","","2026-01-16T09:04:47.325Z"
"sd15_promptonly_v1_000077_seed0003","UNDECIDABLE","clock above the cat","2026-01-16T09:04:54.134Z"
"sd15_promptonly_v1_000109_seed0000","PASS","","2026-01-16T09:06:41.725Z"
"sd15_boxdiff_v1_000136_seed0002","UNDECIDABLE","giraffe appears above the bed at the same horizontal level","2026-01-16T09:06:50.233Z"
"sd15_boxdiff_v1_000096_seed0003","UNDECIDABLE","Overlap","2026-01-16T09:07:24.682Z"
"sd15_boxdiff_v1_000196_seed0002","PASS","","2026-01-16T09:08:25.192Z"
"sd15_boxdiff_v1_000084_seed0000","UNDECIDABLE","Overlap/bear on the bicycle","2026-01-16T09:09:05.881Z"
"sd15_boxdiff_v1_000096_seed0002","PASS","","2026-01-16T09:09:21.831Z"
"sd15_boxdiff_v1_000180_seed0002","PASS","","2026-01-16T09:09:31.871Z"
"sd15_boxdiff_v1_000101_seed0001","PASS","All of the apples are on the left of the horse","2026-01-16T09:09:41.482Z"
"sd15_boxdiff_v1_000097_seed0000","UNDECIDABLE","Objects and relations seem to resemble what we asked for but are too blurry to decide","2026-01-16T09:10:57.301Z"
"sd15_boxdiff_v1_000065_seed0000","UNDECIDABLE","multiple bears, both on the couch","2026-01-16T09:11:48.892Z"
"sd15_boxdiff_v1_000033_seed0002","UNDECIDABLE","","2026-01-16T09:12:02.551Z"
"sd15_boxdiff_v1_000009_seed0001","UNDECIDABLE","Overlap/centered","2026-01-16T09:12:09.232Z"
"sd15_boxdiff_v1_000053_seed0000","UNDECIDABLE","","2026-01-16T09:12:25.800Z"
"sd15_boxdiff_v1_000009_seed0000","UNDECIDABLE","Overlap/centered","2026-01-16T09:12:32.457Z"
"sd15_boxdiff_v1_000085_seed0002","UNDECIDABLE","Overlap, bear on the bicycle","2026-01-16T09:12:43.894Z"
"sd15_boxdiff_v1_000177_seed0000","PASS","","2026-01-16T09:12:56.122Z"
"sd15_boxdiff_v1_000145_seed0003","UNDECIDABLE","Truck appears on the laptop screen (overlap)","2026-01-16T09:13:04.645Z"
"sd15_boxdiff_v1_000025_seed0001","PASS","","2026-01-16T09:13:39.952Z"
"sd15_boxdiff_v1_000069_seed0003","PASS","motorcycle blurry, but relation is correct","2026-01-16T09:14:15.563Z"
"sd15_boxdiff_v1_000194_seed0002","PASS","","2026-01-16T09:14:44.088Z"
"sd15_boxdiff_v1_000134_seed0003","PASS","","2026-01-16T09:14:49.969Z"
"sd15_boxdiff_v1_000046_seed0003","PASS","","2026-01-16T09:15:00.218Z"
"sd15_boxdiff_v1_000178_seed0003","PASS","","2026-01-16T09:15:03.747Z"
"sd15_boxdiff_v1_000150_seed0001","FAIL","Dog appears to be on the chair","2026-01-16T09:15:20.419Z"
"sd15_boxdiff_v1_000062_seed0002","PASS","","2026-01-16T09:18:23.206Z"
"sd15_boxdiff_v1_000102_seed0003","UNDECIDABLE","","2026-01-16T09:18:28.847Z"
"sd15_boxdiff_v1_000034_seed0001","UNDECIDABLE","","2026-01-16T09:18:37.307Z"
"sd15_boxdiff_v1_000162_seed0003","PASS","Weird generation, but seems like both objects appear and their relation is correct","2026-01-16T09:18:59.745Z"
"sd15_boxdiff_v1_000058_seed0000","PASS","both bananas above the potted plant","2026-01-16T09:19:35.275Z"
"sd15_boxdiff_v1_000006_seed0001","PASS","both giraffes above the dog","2026-01-16T09:20:04.266Z"
"sd15_boxdiff_v1_000010_seed0000","PASS","","2026-01-16T09:20:22.556Z"
"sd15_boxdiff_v1_000175_seed0003","UNDECIDABLE","","2026-01-16T09:20:47.815Z"
"sd15_boxdiff_v1_000019_seed0002","UNDECIDABLE","","2026-01-16T09:20:51.168Z"
"sd15_boxdiff_v1_000103_seed0002","UNDECIDABLE","","2026-01-16T09:20:54.185Z"
"sd15_boxdiff_v1_000015_seed0000","PASS","weird generation, but both objects do appear and bear is on the chair","2026-01-16T09:21:03.485Z"
"sd15_boxdiff_v1_000027_seed0001","PASS","potted plant (partial) is below the bear","2026-01-16T09:21:35.953Z"
"sd15_boxdiff_v1_000167_seed0003","UNDECIDABLE","missing vase","2026-01-16T09:22:18.324Z"
"sd15_boxdiff_v1_000039_seed0000","UNDECIDABLE","","2026-01-16T09:22:40.875Z"
"sd15_boxdiff_v1_000024_seed0003","UNDECIDABLE","","2026-01-16T09:22:48.073Z"
"sd15_boxdiff_v1_000116_seed0003","UNDECIDABLE","","2026-01-16T09:22:55.273Z"
"sd15_boxdiff_v1_000048_seed0002","UNDECIDABLE","","2026-01-16T09:22:59.883Z"
"sd15_boxdiff_v1_000176_seed0002","UNDECIDABLE","","2026-01-16T09:23:13.482Z"
"sd15_boxdiff_v1_000032_seed0003","PASS","airplane wing indicates the plane is on the left of the bird","2026-01-16T09:23:21.903Z"
"sd15_boxdiff_v1_000024_seed0000","UNDECIDABLE","","2026-01-16T09:23:45.892Z"
"sd15_boxdiff_v1_000063_seed0001","UNDECIDABLE","overlap/centered","2026-01-16T09:23:55.134Z"
"sd15_boxdiff_v1_000115_seed0000","PASS","","2026-01-16T09:24:05.536Z"
"sd15_boxdiff_v1_000043_seed0000","PASS","","2026-01-16T09:24:09.233Z"
"sd15_boxdiff_v1_000103_seed0001","PASS","","2026-01-16T09:24:21.082Z"
"sd15_boxdiff_v1_000111_seed0000","PASS","","2026-01-16T09:24:25.812Z"
"sd15_boxdiff_v1_000139_seed0000","UNDECIDABLE","they appear the same level","2026-01-16T09:24:40.162Z"
"sd15_boxdiff_v1_000111_seed0003","PASS","","2026-01-16T09:24:52.932Z"
"sd15_boxdiff_v1_000167_seed0000","UNDECIDABLE","missing vase","2026-01-16T09:25:00.451Z"
"sd15_boxdiff_v1_000103_seed0003","FAIL","","2026-01-16T09:25:23.451Z"
"sd15_boxdiff_v1_000015_seed0003","FAIL","","2026-01-16T09:25:43.517Z"
"sd15_boxdiff_v1_000167_seed0001","UNDECIDABLE","missing vase","2026-01-16T09:25:47.480Z"
"sd15_boxdiff_v1_000019_seed0003","UNDECIDABLE","missing horse","2026-01-16T09:26:04.731Z"
"sd15_boxdiff_v1_000138_seed0002","FAIL","","2026-01-16T09:26:24.261Z"
"sd15_boxdiff_v1_000166_seed0000","UNDECIDABLE","missing vase","2026-01-16T09:26:42.924Z"
"sd15_boxdiff_v1_000054_seed0003","FAIL","","2026-01-16T09:26:55.170Z"
"sd15_boxdiff_v1_000166_seed0003","UNDECIDABLE","missing vase","2026-01-16T09:27:09.541Z"
"sd15_boxdiff_v1_000166_seed0002","UNDECIDABLE","missing vase","2026-01-16T09:27:21.069Z"
"sd15_boxdiff_v1_000130_seed0002","FAIL","","2026-01-16T09:27:36.673Z"
"sd15_boxdiff_v1_000164_seed0003","UNDECIDABLE","missing vase","2026-01-16T09:27:41.570Z"
"sd15_boxdiff_v1_000128_seed0001","UNDECIDABLE","overlap","2026-01-16T09:27:51.361Z"
"sd15_boxdiff_v1_000124_seed0002","FAIL","","2026-01-16T09:28:00.990Z"
"sd15_boxdiff_v1_000193_seed0000","FAIL","","2026-01-16T09:28:13.270Z"
"sd15_boxdiff_v1_000177_seed0003","FAIL","","2026-01-16T09:28:20.138Z"
"sd15_boxdiff_v1_000165_seed0003","UNDECIDABLE","missing vase","2026-01-16T09:28:23.249Z"
"sd14_gligen_v1_000016_seed0000","UNDECIDABLE","","2026-01-16T09:28:30.849Z"
"sd14_gligen_v1_000040_seed0002","UNDECIDABLE","","2026-01-16T09:28:58.109Z"
"sd14_gligen_v1_000104_seed0003","UNDECIDABLE","","2026-01-16T09:29:04.718Z"
"sd14_gligen_v1_000160_seed0001","PASS","all bananas on the left of the bicycle","2026-01-16T09:29:12.718Z"
"sd14_gligen_v1_000016_seed0002","UNDECIDABLE","","2026-01-16T09:29:30.772Z"
"sd14_gligen_v1_000000_seed0000","UNDECIDABLE","","2026-01-16T09:29:46.679Z"
"sd14_gligen_v1_000036_seed0003","UNDECIDABLE","","2026-01-16T09:29:52.319Z"
"sd14_gligen_v1_000076_seed0000","UNDECIDABLE","","2026-01-16T09:29:56.861Z"
"sd14_gligen_v1_000156_seed0000","PASS","","2026-01-16T09:30:04.378Z"
"sd14_gligen_v1_000080_seed0001","PASS","","2026-01-16T09:30:13.387Z"
"sd14_gligen_v1_000048_seed0000","PASS","","2026-01-16T09:30:18.969Z"
"sd14_gligen_v1_000100_seed0002","PASS","","2026-01-16T09:30:22.397Z"
"sd14_gligen_v1_000012_seed0001","PASS","","2026-01-16T09:30:27.698Z"
"sd14_gligen_v1_000112_seed0001","PASS","","2026-01-16T09:30:34.448Z"
"sd14_gligen_v1_000192_seed0003","PASS","","2026-01-16T09:30:39.398Z"
"sd14_gligen_v1_000196_seed0002","PASS","","2026-01-16T09:30:42.487Z"
"sd14_gligen_v1_000097_seed0002","PASS","TV is a bit weird but still recognizable and on the right of the potted plant","2026-01-16T09:30:57.457Z"
"sd14_gligen_v1_000037_seed0001","UNDECIDABLE","","2026-01-16T09:31:23.176Z"
"sd14_gligen_v1_000053_seed0000","UNDECIDABLE","","2026-01-16T09:31:27.989Z"
"sd14_gligen_v1_000105_seed0000","UNDECIDABLE","","2026-01-16T09:31:30.656Z"
"sd14_gligen_v1_000145_seed0000","UNDECIDABLE","","2026-01-16T09:31:33.780Z"
"sd14_gligen_v1_000037_seed0002","UNDECIDABLE","","2026-01-16T09:31:36.147Z"
"sd14_gligen_v1_000053_seed0001","PASS","same size but one is a teddy bear and the other is a bear. relation correct","2026-01-16T09:31:47.037Z"
"sd14_gligen_v1_000029_seed0001","PASS","weird generated laptop but recognizable and relation is correct","2026-01-16T09:32:11.647Z"
"sd14_gligen_v1_000165_seed0002","UNDECIDABLE","both potted plants","2026-01-16T09:32:55.976Z"
"sd14_gligen_v1_000077_seed0003","PASS","","2026-01-16T09:33:08.437Z"
"sd14_gligen_v1_000041_seed0000","PASS","","2026-01-16T09:33:21.656Z"
"sd14_gligen_v1_000165_seed0000","PASS","First correct potted plant and vase generation i come across (with both objects appearing)","2026-01-16T09:33:34.395Z"
"sd14_gligen_v1_000149_seed0002","PASS","","2026-01-16T09:34:18.993Z"
"sd14_gligen_v1_000081_seed0001","PASS","","2026-01-16T09:34:23.254Z"
"sd14_gligen_v1_000045_seed0003","PASS","","2026-01-16T09:34:31.838Z"
"sd14_gligen_v1_000045_seed0002","PASS","","2026-01-16T09:34:36.218Z"
"sd14_gligen_v1_000130_seed0001","PASS","","2026-01-16T09:34:41.801Z"
"sd14_gligen_v1_000134_seed0000","PASS","","2026-01-16T09:34:46.092Z"
"sd14_gligen_v1_000002_seed0002","PASS","","2026-01-16T09:34:54.932Z"
"sd14_gligen_v1_000118_seed0001","PASS","","2026-01-16T09:34:58.872Z"
"sd14_gligen_v1_000070_seed0003","PASS","","2026-01-16T09:35:02.583Z"
"sd14_gligen_v1_000010_seed0002","PASS","","2026-01-16T09:35:06.483Z"
"sd14_gligen_v1_000186_seed0002","PASS","","2026-01-16T09:35:11.695Z"
"sd14_gligen_v1_000158_seed0000","PASS","","2026-01-16T09:35:17.762Z"
"sd14_gligen_v1_000046_seed0003","PASS","weird fire hydrant but recognizable. relation correct","2026-01-16T09:35:23.264Z"
"sd14_gligen_v1_000170_seed0001","UNDECIDABLE","","2026-01-16T09:35:42.432Z"
"sd14_gligen_v1_000066_seed0003","PASS","","2026-01-16T09:35:47.454Z"
"sd14_gligen_v1_000194_seed0001","PASS","both objects appear. relation is correct","2026-01-16T09:35:52.683Z"
"sd14_gligen_v1_000138_seed0003","UNDECIDABLE","","2026-01-16T09:36:15.803Z"
"sd14_gligen_v1_000038_seed0003","UNDECIDABLE","","2026-01-16T09:36:20.413Z"
"sd14_gligen_v1_000026_seed0001","PASS","","2026-01-16T09:36:26.302Z"
"sd14_gligen_v1_000030_seed0001","PASS","generated laptop is very thin but recognizable, relation is correct","2026-01-16T09:36:55.492Z"
"sd14_gligen_v1_000147_seed0003","PASS","both objects appear. relation is correct","2026-01-16T09:37:28.343Z"
"sd14_gligen_v1_000147_seed0002","PASS","both objects appear. relation is correct","2026-01-16T09:37:47.413Z"
"sd14_gligen_v1_000031_seed0002","PASS","both objects appear. relation is correct","2026-01-16T09:37:58.951Z"
"sd14_gligen_v1_000035_seed0001","UNDECIDABLE","","2026-01-16T09:38:03.529Z"
"sd14_gligen_v1_000171_seed0000","UNDECIDABLE","","2026-01-16T09:38:06.222Z"
"sd14_gligen_v1_000163_seed0003","PASS","both bananas above the bicycle","2026-01-16T09:38:12.143Z"
"sd14_gligen_v1_000187_seed0003","PASS","both objects appear. relation is correct","2026-01-16T09:38:38.294Z"
"sd14_gligen_v1_000163_seed0000","PASS","all bananas appear above the bicycle","2026-01-16T09:38:53.261Z"
"sd14_gligen_v1_000003_seed0001","UNDECIDABLE","ambiguous, multiple cakes","2026-01-16T09:39:50.511Z"
"sd14_gligen_v1_000155_seed0002","PASS","","2026-01-16T09:40:10.072Z"
"sd14_gligen_v1_000179_seed0000","PASS","","2026-01-16T09:40:13.521Z"
"sd14_gligen_v1_000179_seed0003","PASS","","2026-01-16T09:40:18.011Z"
"sd14_gligen_v1_000127_seed0001","PASS","","2026-01-16T09:40:23.032Z"
"sd14_gligen_v1_000079_seed0003","PASS","","2026-01-16T09:40:28.132Z"
"sd14_gligen_v1_000139_seed0001","PASS","","2026-01-16T09:40:31.201Z"
"sd14_gligen_v1_000007_seed0000","PASS","","2026-01-16T09:40:39.823Z"
"sd14_gligen_v1_000021_seed0001","PASS","both objects appear. relation is correct, checker inverted decision","2026-01-16T09:40:48.342Z"
"sd14_gligen_v1_000033_seed0001","FAIL","","2026-01-16T09:41:47.391Z"
"sd14_gligen_v1_000054_seed0001","FAIL","","2026-01-16T09:41:58.621Z"
