sample_id,image_path,overlay_path,prompt,relation,object_a,object_b,checker_verdict_raw,conf,run_id,run_path,method
sd15_promptonly_v1_000161_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000161_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000161_seed0002.png,A photo of a bicycle to the right of a banana.,right_of,bicycle,banana,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000185_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000185_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000185_seed0002.png,A photo of a cow to the right of a tv.,right_of,cow,tv,UNDECIDABLE,0.0010,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000126_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000126_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000126_seed0000.png,A photo of a chair above a bird.,above,chair,bird,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000094_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000094_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000094_seed0002.png,A photo of a cow above a vase.,above,cow,vase,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000050_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000050_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000050_seed0000.png,A photo of a tv above a teddy bear.,above,tv,teddy bear,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000074_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000074_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000074_seed0001.png,A photo of a zebra above a vase.,above,zebra,vase,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000022_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000022_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000022_seed0002.png,A photo of a bear above a dog.,above,bear,dog,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000134_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000134_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000134_seed0000.png,A photo of a cow above a apple.,above,cow,apple,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000163_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000163_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000163_seed0001.png,A photo of a bicycle below a banana.,below,bicycle,banana,PASS,0.5565,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000091_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000091_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000091_seed0000.png,A photo of a dog below a boat.,below,dog,boat,PASS,0.6266,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000095_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000095_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000095_seed0000.png,A photo of a vase below a cow.,below,vase,cow,PASS,0.8179,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000199_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000199_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000199_seed0002.png,A photo of a pizza below a bottle.,below,pizza,bottle,PASS,0.5040,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000199_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000199_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000199_seed0000.png,A photo of a pizza below a bottle.,below,pizza,bottle,PASS,0.7742,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000159_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000159_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000159_seed0001.png,A photo of a dog below a bus.,below,dog,bus,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000191_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000191_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000191_seed0002.png,A photo of a cup below a bird.,below,cup,bird,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000039_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000039_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000039_seed0001.png,A photo of a horse below a dog.,below,horse,dog,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000139_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000139_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000139_seed0003.png,A photo of a giraffe below a bed.,below,giraffe,bed,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000067_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000067_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000067_seed0001.png,A photo of a couch below a bear.,below,couch,bear,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000095_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000095_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000095_seed0003.png,A photo of a vase below a cow.,below,vase,cow,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000182_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000182_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000182_seed0001.png,A photo of a cat above a bus.,above,cat,bus,PASS,0.2942,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000194_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000194_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000194_seed0000.png,A photo of a apple above a chair.,above,apple,chair,PASS,0.4759,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000122_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000122_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000122_seed0000.png,A photo of a horse above a banana.,above,horse,banana,PASS,0.7056,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000010_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000010_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000010_seed0003.png,A photo of a cat above a chair.,above,cat,chair,PASS,0.9690,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000014_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000014_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000014_seed0000.png,A photo of a bear above a chair.,above,bear,chair,PASS,0.5740,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000130_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000130_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000130_seed0001.png,A photo of a fire hydrant above a couch.,above,fire hydrant,couch,PASS,0.6543,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000148_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000148_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000148_seed0002.png,A photo of a chair to the left of a dog.,left_of,chair,dog,FAIL,0.2910,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000148_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000148_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000148_seed0001.png,A photo of a chair to the left of a dog.,left_of,chair,dog,FAIL,0.5970,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000076_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000076_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000076_seed0000.png,A photo of a cat to the left of a clock.,left_of,cat,clock,FAIL,0.7816,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000040_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000040_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000040_seed0002.png,A photo of a dog to the left of a clock.,left_of,dog,clock,FAIL,0.9694,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000008_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000008_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000008_seed0003.png,A photo of a cat to the left of a chair.,left_of,cat,chair,FAIL,0.7195,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000164_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000164_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000164_seed0003.png,A photo of a vase to the left of a potted plant.,left_of,vase,potted plant,PASS,0.3476,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000084_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000084_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000084_seed0002.png,A photo of a teddy bear to the left of a bicycle.,left_of,teddy bear,bicycle,PASS,0.5984,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000008_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000008_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000008_seed0001.png,A photo of a cat to the left of a chair.,left_of,cat,chair,PASS,0.7328,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000048_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000048_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000048_seed0000.png,A photo of a tv to the left of a teddy bear.,left_of,tv,teddy bear,PASS,0.9616,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000076_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000076_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000076_seed0001.png,A photo of a cat to the left of a clock.,left_of,cat,clock,PASS,0.4662,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000029_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000029_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000029_seed0001.png,A photo of a bus to the right of a laptop.,right_of,bus,laptop,FAIL,0.0629,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000165_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000165_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000165_seed0003.png,A photo of a potted plant to the right of a vase.,right_of,potted plant,vase,FAIL,0.2497,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000065_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000065_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000065_seed0003.png,A photo of a couch to the right of a bear.,right_of,couch,bear,FAIL,0.5061,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000125_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000125_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000125_seed0001.png,A photo of a bird to the right of a chair.,right_of,bird,chair,FAIL,0.7751,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000013_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000013_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000013_seed0000.png,A photo of a chair to the right of a bear.,right_of,chair,bear,FAIL,0.9557,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000174_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000174_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000174_seed0000.png,A photo of a clock above a tv.,above,clock,tv,FAIL,0.3804,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000066_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000066_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000066_seed0001.png,A photo of a bear above a couch.,above,bear,couch,FAIL,0.6718,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000062_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000062_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000062_seed0001.png,A photo of a bird above a fire hydrant.,above,bird,fire hydrant,FAIL,0.9220,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000046_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000046_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000046_seed0003.png,A photo of a cat above a fire hydrant.,above,cat,fire hydrant,FAIL,0.7895,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000078_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000078_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000078_seed0003.png,A photo of a cat above a clock.,above,cat,clock,FAIL,0.9870,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000182_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000182_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000182_seed0000.png,A photo of a cat above a bus.,above,cat,bus,FAIL,0.7224,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000099_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000099_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000099_seed0000.png,A photo of a tv below a potted plant.,below,tv,potted plant,FAIL,0.5144,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000047_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000047_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000047_seed0001.png,A photo of a fire hydrant below a cat.,below,fire hydrant,cat,FAIL,0.7893,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000031_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000031_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000031_seed0001.png,A photo of a bus below a laptop.,below,bus,laptop,FAIL,0.9950,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000011_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000011_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000011_seed0000.png,A photo of a chair below a cat.,below,chair,cat,FAIL,0.5166,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000047_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000047_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000047_seed0003.png,A photo of a fire hydrant below a cat.,below,fire hydrant,cat,FAIL,0.7545,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000089_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000089_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000089_seed0000.png,A photo of a dog to the right of a boat.,right_of,dog,boat,PASS,0.2970,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000117_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000117_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000117_seed0000.png,A photo of a teddy bear to the right of a stop sign.,right_of,teddy bear,stop sign,PASS,0.5365,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000169_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000169_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000169_seed0003.png,A photo of a zebra to the right of a dog.,right_of,zebra,dog,PASS,0.9966,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000077_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000077_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000077_seed0003.png,A photo of a clock to the right of a cat.,right_of,clock,cat,PASS,0.5745,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000109_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000109_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000109_seed0000.png,A photo of a truck to the right of a bear.,right_of,truck,bear,PASS,0.9950,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_boxdiff_v1_000136_seed0002,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000136_seed0002.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000136_seed0002.png,A photo of a bed to the left of a giraffe.,left_of,bed,giraffe,PASS,0.5817,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
sd15_boxdiff_v1_000096_seed0003,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000096_seed0003.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000096_seed0003.png,A photo of a potted plant to the left of a tv.,left_of,potted plant,tv,PASS,0.7066,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
sd15_boxdiff_v1_000196_seed0002,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000196_seed0002.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000196_seed0002.png,A photo of a bottle to the left of a pizza.,left_of,bottle,pizza,PASS,0.9937,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
sd15_boxdiff_v1_000084_seed0000,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000084_seed0000.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000084_seed0000.png,A photo of a teddy bear to the left of a bicycle.,left_of,teddy bear,bicycle,PASS,0.7724,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
sd15_boxdiff_v1_000096_seed0002,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000096_seed0002.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000096_seed0002.png,A photo of a potted plant to the left of a tv.,left_of,potted plant,tv,PASS,0.9702,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
sd15_boxdiff_v1_000180_seed0002,../../runs/final_20260112_084335/sd15_boxdiff/images/sd15_boxdiff_v1_000180_seed0002.png,../../runs/final_20260112_084335/sd15_boxdiff/eval/overlays/sd15_boxdiff_v1_000180_seed0002.png,A photo of a cat to the left of a bus.,left_of,cat,bus,PASS,0.9948,sd15_boxdiff,runs/final_20260112_084335/sd15_boxdiff,boxdiff
